序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,区间振幅(%) 2026.05.06 - 2026.05.08,区间换手率(%) 2026.05.06 - 2026.05.08,RSI1(6日) 2026.05.08,MACD值 2026.05.08,ST股票,阶段强势股 2026.05.08,概念,收盘价(日线不复权)(元) 2026.05.08,成交额(元) 2026.05.08,流通市值(元) 2026.05.08,东财行业总分类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08
392,000758,中色股份,SZ,7.48,-0.13,7.70,9.48,75.05,0.16,否,符合,金属铜、中越经济一体化、稀土永磁、锌矿、稀缺资源、融资融券、深股通、贬值受益、金属钴、金属回收、标准普尔、冶炼分离、小盘股、金属锌、新材料、一带一路、央国企改革、金属铅、小金属概念、中字头、富时罗素、小盘成长、黄金概念、参股银行,7.48,3.96亿,147.82亿,有色金属-工业金属-铅锌,-0.010,7.57,7.36,2.68,1.05,5304.66万,14.33,2.3883,148.88亿
393,002297,博云新材,SZ,25.71,3.88,10.24,95.82,82.81,1.15,否,符合,军工、大飞机、航空发动机、培育钻石、2026—季报预增、融资融券、2025年报扭亏、航天航空、无人机、商业航天、军民融合、昨日高换手、运营维修、新材料、央国企改革、碳纤维、通用航空、小金属概念、成飞概念,25.71,42.47亿,147.35亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,0.960,25.99,23.49,29.19,0.84,1.67亿,27.84,6.5207,147.35亿
394,688531,日联科技,SH,127.47,-0.41,16.29,44.62,95.56,13.58,否,符合,PCB设备、国产芯片、专精特新、融资融券、液冷概念、食品安全、商业航天、沪股通、半导体概念、宁德时代概念、PCB、最近多板、电池技术、固态电池、汽车一体化压铸、锂电池概念、比亚迪概念、CPO概念、人工智能、高端装备、特斯拉概念,127.47,17.70亿,146.31亿,机械设备-专用设备-其他专用设备,-0.530,130.79,121.23,12.22,0.96,1402.84万,119.52,6.1753,211.08亿
395,002838,道恩股份,SZ,34.53,-0.49,17.94,8.52,86.20,1.38,否,符合,军工、专精特新、2026—季报预增、5G概念、融资融券、昨日高振幅、深股通、钛白粉概念、新能源车、小米概念、华为概念、预制菜概念、通信技术、小盘股、新材料、比亚迪概念、锂电池概念、富时罗素、PEEK材料概念、降解塑料、机器人概念、特斯拉概念,34.53,3.59亿,145.24亿,基础化工-塑料-改性塑料,-0.170,35.39,34.01,2.46,1.00,1033.50万,34.68,4.3957,165.19亿
396,688032,禾迈股份,SH,116.91,1.16,5.77,4.52,60.35,0.87,否,符合,光伏概念、小盘股、专精特新、融资融券、贬值受益、破发股、上证380、沪股通、光伏逆变器、小盘价值,116.91,2.29亿,145.05亿,电力设备-光伏设备-逆变器,1.340,117.16,113.71,1.60,0.91,199.07万,-58.31,2.5572,145.05亿
397,300077,国民技术,SZ,25.59,3.44,10.63,45.50,80.31,0.64,否,符合,国产芯片、粤港澳大湾区、区块链、车联网(车路云)、新能源车、工业互联、3D打印、深圳特区、AI智能体、宁德时代概念、华为概念、电池技术、消费电子概念、智能家居、CPO概念、MCU芯片、物联网、人脸识别、机器人概念、量子科技、数据安全、移动支付、融资融券、石墨电极、医疗器械概念、数字货币、深股通、充电桩、无人机、知识产权、半导体概念、网络安全、小盘股、光伏概念、生物识别、人形机器人、锂电池概念、创业板综、汽车芯片、汽车电子、无线耳机、EDR概念,25.59,21.00亿,144.92亿,电子-半导体-数字芯片设计,0.850,25.60,24.16,14.76,1.42,8357.70万,-236.94,9.9636,149.22亿
398,600184,光电股份,SH,24.80,3.46,12.16,22.92,67.08,-0.05,否,符合,军工、专精特新、融资融券、2025年报扭亏、AI眼镜、光通信模块、沪股通、通信技术、军民融合、氟化工概念、机器视觉、人形机器人、光纤概念、央国企改革、导弹、微利股、CPO概念、航母概念、湖北三资改革、机器人概念、湖北自贸,24.80,10.58亿,144.52亿,国防军工-地面兵装Ⅱ-地面兵装Ⅲ,0.830,24.84,23.25,7.52,1.15,4382.90万,3221.12,4.2281,144.52亿
399,688368,晶丰明源,SH,163.25,-1.64,10.37,11.96,64.99,2.87,否,符合,国产芯片、LED概念、专精特新、融资融券、2025年报扭亏、第三代半导体、沪股通、半导体概念、小米概念、数据中心、小盘股、英伟达概念、股权激励、MCU芯片、无线充电、汽车芯片、小盘成长、机器人概念、汽车电子,163.25,4.45亿,144.48亿,电子-半导体-模拟芯片设计,-2.720,167.48,160.24,3.08,0.76,272.64万,143.06,4.7279,210.35亿
400,300459,汤姆猫,SZ,4.39,0.92,8.77,14.89,77.94,0.12,否,符合,区块链、多模态AI、鸿蒙概念、贬值受益、网络游戏、深成500、腾讯概念、AI应用、AI制图、富时罗素、婴童概念、阿里概念、云游戏、机器人概念、融资融券、人脑工程、液冷概念、AIGC概念、托育服务、ChatGPT概念、知识产权、小盘价值、数据中心、三胎概念、NFT概念、语音技术、谷子经济、智能医疗、大数据、儿童玩具、东数西算、元宇宙概念、华为概念、小红书概念、脑机设备、AI游戏、DeepSeek概念、在线教育、人工智能、手机游戏、混合现实、网红经济、脑机接口、深股通、虚拟现实、快手概念、小盘股、一带一路、创业板综、中欧经济一体化、抖音概念(字节概念),4.39,9.57亿,144.31亿,传媒-游戏Ⅱ-游戏Ⅲ,0.040,4.57,4.30,6.53,1.45,2.15亿,125.49,20.9667,154.34亿
401,603297,永新光学,SH,130.28,3.70,15.12,9.09,82.61,3.12,否,符合,激光雷达、国产芯片、融资融券、共同富裕示范区、昨日高振幅、AI眼镜、显示技术、近期新高、虚拟现实、超清视频、车载摄像头、沪股通、商业航天、光刻机(胶)、小盘股、机器视觉、增强现实、百日新高 、无人驾驶、智能医疗、空间站概念,130.28,4.21亿,144.26亿,电子-光学光电子-光学元件,4.650,131.98,124.02,2.94,1.45,325.61万,78.32,6.8690,144.53亿
402,002655,共达电声,SZ,39.39,10.00,25.63,32.99,99.37,2.65,否,符合,国产芯片、昨日高振幅、电子烟、元宇宙概念、新能源车、华为概念、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、中马经济一体化、智能家居、百日新高 、独角兽、毫米波概念、无线充电、近期新高、无人机、半导体概念、苹果概念、智能音箱、生物识别、历史新高 、一带一路、传感器、无线耳机、汽车电子,39.39,16.87亿,143.02亿,电子-消费电子-消费电子零部件及组装,3.580,39.39,37.10,12.07,0.75,4383.03万,685.12,17.1804,143.30亿
403,300693,盛弘股份,SZ,53.11,2.79,14.93,34.03,73.55,0.22,否,符合,专精特新、融资融券、高压快充、充电桩、深股通、虚拟电厂、新能源车、储能变流器、深圳特区、宁德时代概念、数据中心、UPS供电、小盘股、储能概念、换电概念、比亚迪概念、锂电池概念、创业板综、小盘成长,53.11,13.85亿,142.79亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,1.440,53.69,51.65,9.77,1.29,2627.35万,48.75,7.3766,166.13亿
404,002867,周大生,SZ,13.23,-0.68,4.15,5.03,64.25,0.19,否,符合,融资融券、深股通、高股息精选、标准普尔、深圳特区、深成500、价值股、小盘价值、小盘股、电商概念、创投、富时罗素、黄金连锁零售商、谷子经济、黄金概念,13.23,1.54亿,142.76亿,纺织服饰-饰品-钟表珠宝,-0.090,13.47,13.21,1.07,0.42,1152.94万,12.24,2.1197,143.61亿
405,603927,中科软,SH,17.16,1.60,6.51,4.92,69.69,0.19,否,符合,国资云概念、区块链、车联网(车路云)、鸿蒙概念、乡村振兴、数字乡村、工业互联、互联网保险、新型工业化、AI智能体、华为概念、腾讯概念、互联网金融、信创、央国企改革、百度概念、AI应用、DeepSeek概念、人工智能、富时罗素、中字头、阿里概念、互联医疗、华为鲲鹏、云计算、数据要素、智慧政务、数据安全、融资融券、数字货币、AIGC概念、上证380、中证500、沪股通、网络安全、小盘股、国产软件、小盘成长、智能医疗、大数据、跨境支付,17.16,2.66亿,142.61亿,计算机-软件开发-垂直应用软件,0.270,17.50,16.85,1.86,1.50,1543.43万,-225.04,4.4910,142.61亿
406,605598,上海港湾,SH,58.68,8.27,24.99,12.98,78.74,1.44,否,符合,中越经济一体化、昨日高振幅、昨日首板、贬值受益、太空光伏、无人机、钙钛矿电池、商业航天、沪股通、工程建设、最近多板、中马经济一体化、卫星导航、一带一路、土壤修复,58.68,10.16亿,142.60亿,建筑装饰-专业工程-其他专业工程,4.480,59.62,53.55,7.25,3.07,1761.50万,893.13,8.3226,142.60亿
407,688233,神工股份,SH,83.56,-0.16,16.29,20.09,68.47,1.89,否,符合,国产芯片、专精特新、融资融券、中芯概念、长江存储、半导体硅片、2025年报预增、沪股通、半导体概念、存储芯片,83.56,6.32亿,142.31亿,电子-半导体-半导体材料,-0.130,84.87,80.86,4.49,0.75,764.39万,140.15,7.4281,142.31亿
408,688319,欧林生物,SH,35.05,0.14,12.53,11.02,82.85,1.29,否,符合,专精特新、融资融券、流感、西部大开发、创新药、沪股通、幽门螺杆菌概念、生物疫苗,35.05,3.79亿,142.10亿,医药生物-生物制品-疫苗,0.050,35.93,34.50,2.66,0.79,1077.12万,130.75,15.2762,142.20亿
409,000620,盈新发展,SZ,3.04,-2.25,9.64,24.28,67.83,0.08,否,符合,国产芯片、乡村振兴、昨日高振幅、海南自贸、深股通、谷子店、破发股、体育产业、旅游概念、短剧互动游戏、存储芯片、标准普尔、AI智能体、最近多板、小盘股、京津冀、土地流转、京津冀一体化、富时罗素、谷子经济、参股银行、数据要素,3.04,9.95亿,142.02亿,房地产-房地产开发-住宅开发,-0.070,3.11,3.00,6.99,1.33,3.26亿,-37.38,4.8710,178.50亿
410,300303,聚飞光电,SZ,10.67,4.40,19.24,38.58,70.95,0.05,否,符合,国产芯片、光芯片、粤港澳大湾区、LED概念、专精特新、两岸合作、5G概念、IGBT概念、光通信模块、新能源车、柔性屏(折叠屏)、深圳特区、节能环保、华为概念、智能穿戴、消费电子概念、MicroLED、独角兽、CPO概念、机器人概念、融资融券、深股通、半导体概念、先进封装、数据中心、智慧灯杆、比亚迪概念、海峡两岸、创业板综、传感器、MiniLED、植物照明,10.67,17.70亿,141.77亿,电子-光学光电子-LED,0.450,10.74,9.95,12.68,1.25,1.69亿,73.96,3.9333,151.17亿
411,605123,派克新材,SH,116.51,3.64,7.68,16.94,85.03,3.73,否,符合,军工、专精特新、大飞机、环锻、航空发动机、融资融券、海工装备、蓝箭航天、商业航天、沪股通、核能核电、可控核聚变、卫星导航、中科宇航、风能,116.51,7.19亿,141.18亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,4.090,117.30,111.00,5.14,1.32,622.56万,41.20,3.0520,141.18亿
412,301183,东田微,SZ,240.40,20.00,33.33,50.37,83.91,4.07,否,符合,激光雷达、专精特新、6G概念、融资融券、深股通、近期新高、虚拟现实、光通信模块、F5G概念、华为手机、华为概念、小米概念、通信技术、消费电子概念、历史新高 、百日新高 、荣耀概念、CPO概念、创业板综、无人驾驶、2025年报预增、汽车电子,240.40,29.11亿,141.11亿,电子-光学光电子-光学元件,40.070,240.40,193.35,23.27,2.07,1366.00万,171.48,19.5261,192.50亿
413,300322,硕贝德,SZ,32.00,-0.68,7.35,20.48,65.50,0.13,否,符合,国产芯片、粤港澳大湾区、5G概念、车联网(车路云)、元宇宙概念、新能源车、华为概念、小米概念、通信技术、消费电子概念、智能穿戴、2025三季报预增、毫米波概念、无人驾驶、富时罗素、无线充电、物联网、机器人概念、卫星互联网、6G概念、融资融券、2025年报扭亏、AI眼镜、液冷概念、深股通、虚拟现实、卫星通信、无人机、商业航天、半导体概念、先进封装、UWB概念、小盘股、生物识别、卫星导航、比亚迪概念、6G元器件、海峡两岸、创业板综、太赫兹、小盘成长、汽车热管理、WiFi6、传感器、汽车电子、特斯拉概念,32.00,6.95亿,140.94亿,电子-消费电子-消费电子零部件及组装,-0.220,32.73,31.53,4.91,0.76,2161.81万,352.91,14.4593,147.21亿
414,002568,百润股份,SZ,18.46,-0.38,4.46,5.24,64.21,0.50,否,符合,中盘股、融资融券、深股通、转债标的、中证500、养老金、标准普尔、深成500、电商概念、饮料制造、酿酒概念、调味品概念、超级品牌、富时罗素、长江三角,18.46,1.85亿,140.86亿,食品饮料-非白酒-其他酒类,-0.070,18.79,18.38,1.31,0.55,998.79万,22.21,3.8146,192.28亿
415,600480,凌云股份,SH,11.61,10.05,14.44,10.85,76.67,0.05,否,符合,新能源车、燃料电池概念、水利建设、宁德时代概念、小米概念、长安汽车概念、电池技术、京津冀、储能概念、核能核电、京津冀一体化、央国企改革、无人驾驶、雄安新区、飞行汽车(eVTOL)、融资融券、低空经济、华为汽车、液冷概念、沪股通、商业航天、小盘价值、小盘股、铁路基建、小米汽车、人形机器人、比亚迪概念、锂电池概念、汽车热管理、传感器、地下管网、特斯拉概念,11.61,7.12亿,140.82亿,汽车-汽车零部件-其他汽车零部件,1.060,11.61,10.45,5.23,2.24,6341.41万,23.13,1.7199,141.90亿
416,600391,航发科技,SH,42.57,10.00,15.03,15.58,73.79,0.68,否,符合,军工、大飞机、航空发动机、融资融券、西部大开发、航天航空、发动机、沪股通、小盘股、成渝特区、央国企改革、高端装备、航母概念,42.57,11.81亿,140.54亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,3.870,42.57,38.22,8.69,2.20,2868.40万,-309.61,7.9201,140.54亿
417,688686,奥普特,SH,114.97,2.75,8.05,5.43,77.77,1.79,否,符合,粤港澳大湾区、融资融券、沪股通、苹果概念、小盘股、电池技术、固态电池、机器视觉、科创板做市股、锂电池概念、越疆机器人、AI应用、传感器、机器人概念、光伏建筑一体化,114.97,3.00亿,140.53亿,机械设备-自动化设备-其他自动化设备,3.080,116.50,110.80,2.15,1.35,262.69万,55.00,4.4890,140.53亿
418,002647,仁东控股,SZ,13.80,0.36,15.23,21.57,79.06,0.41,否,符合,国产芯片、区块链、移动支付、东数西算、2025年报扭亏、昨日高振幅、数字货币、近期新高、昨日首板、节能环保、最近多板、支付牌照、互联网金融、百日新高 、跨境支付、云计算,13.80,10.47亿,140.11亿,非银金融-多元金融-金融信息服务,0.050,14.00,13.45,7.48,1.03,7593.11万,82.93,25.0628,155.98亿
419,603220,中贝通信,SH,32.11,2.72,14.15,36.75,63.58,-0.10,否,符合,5G概念、车联网(车路云)、东数西算、转债标的、新能源车、标准普尔、AI智能体、华为概念、通信技术、电池技术、储能概念、华为昇腾、算力租赁、AI应用、CPO概念、DeepSeek概念、人工智能、富时罗素、物联网、激光雷达、智慧政务、6G概念、融资融券、低空经济、算力概念、充电桩、F5G概念、沪股通、智慧城市、数据中心、小盘股、光伏概念、卫星导航、一带一路、锂电池概念、光纤概念、小盘成长、共享单车,32.11,18.18亿,139.44亿,通信-通信服务-通信工程及服务,0.850,33.22,30.52,13.09,1.06,5686.24万,-151.24万,4.4715,172.22亿
420,300139,晓程科技,SZ,59.61,-1.41,15.79,57.00,67.45,1.40,否,符合,国产芯片、融资融券、PPP模式、深股通、贬值受益、绿色电力、黄金加工、半导体概念、光伏概念、昨日高换手、民爆概念、电力物联网、一带一路、智能电网、创业板综、2025年报预增、黄金概念、电网概念,59.61,20.32亿,139.28亿,有色金属-贵金属-黄金,-0.850,61.20,59.01,14.54,1.06,3396.70万,90.93,13.7077,163.33亿
421,301326,捷邦科技,SZ,192.30,3.14,11.77,9.34,86.62,5.45,否,符合,国产芯片、融资融券、液冷概念、碳基材料、深股通、近期新高、贬值受益、无人机、养老金、3D打印、苹果概念、宁德时代概念、电池技术、消费电子概念、固态电池、新材料、历史新高 、锂电池概念、比亚迪概念、百日新高 、3D打印设备、创业板综、富士康概念,192.30,4.50亿,138.57亿,电子-消费电子-消费电子零部件及组装,5.850,196.68,184.88,3.25,1.03,234.27万,-234.11,11.3221,139.82亿
422,002310,东方新能,SZ,3.22,-1.23,11.11,23.34,61.96,0.03,否,符合,雄安新区、医废处理、乡村振兴、PPP模式、昨日高振幅、新能源发电、深股通、水利建设、绿色电力、金属回收、标准普尔、光伏概念、小盘股、污水处理、生态农业、固废处理、汽车拆解、京津冀一体化、央国企改革、土壤修复、富时罗素、小盘成长、风能、新型城镇化,3.22,9.75亿,138.43亿,公用事业-电力-光伏发电,-0.040,3.34,3.17,6.98,0.88,3.00亿,-349.17,8.0633,193.18亿
423,301029,怡合达,SZ,29.83,-0.07,9.28,11.51,72.59,0.57,否,符合,国产芯片、粤港澳大湾区、工业母机、滚柱丝杠、3D打印、深成500、新型工业化、华为概念、跨境电商、CPO概念、PEEK材料概念、机器人概念、融资融券、深股通、PCB、小盘股、电商概念、光伏概念、机器视觉、人形机器人、锂电池概念、智能电网、创业板综、高端装备、传感器、减速器,29.83,4.47亿,137.78亿,机械设备-自动化设备-其他自动化设备,-0.020,30.40,29.64,3.23,0.97,1491.01万,36.63,4.2088,189.18亿
424,000672,上峰水泥,SZ,14.20,-2.34,8.71,8.49,58.68,0.25,否,符合,国产芯片、融资融券、西部大开发、深股通、高股息精选、绿色电力、反内卷概念、小盘价值、光伏概念、小盘股、创投、水泥概念、储能概念、一带一路、富时罗素,14.20,3.01亿,137.65亿,建筑材料-水泥-水泥制造,-0.340,14.47,14.10,2.18,0.69,2111.45万,107.86,1.5148,137.65亿
425,300182,捷成股份,SZ,6.04,-0.49,8.75,23.44,67.06,0.10,否,符合,多模态AI、数字经济、元宇宙概念、短剧互动游戏、深成500、AI智能体、华为概念、小米概念、腾讯概念、华为昇腾、AI应用、百度概念、DeepSeek概念、在线教育、人工智能、富时罗素、AI语料、网红经济、影视概念、阿里概念、Sora概念、数据要素、军工信息化、融资融券、深股通、虚拟现实、超清视频、AIGC概念、华为盘古、ChatGPT概念、知识产权、快手概念、小盘价值、小盘股、红果短剧、国产软件、Web3.0、虚拟数字人、NFT概念、创业板综、抖音概念(字节概念)、谷子经济、文娱消费,6.04,9.99亿,136.47亿,传媒-影视院线-影视动漫制作,-0.030,6.16,6.01,7.28,1.26,1.64亿,35.63,1.8904,160.90亿
426,688239,航宇科技,SH,71.58,1.97,6.79,15.67,83.19,2.55,否,符合,专精特新、大飞机、航空发动机、环锻、融资融券、海工装备、低空经济、西部大开发、航天航空、发动机、转债标的、蓝箭航天、商业航天、沪股通、钍基熔盐堆、核能核电、锂电池概念、DeepSeek概念、高端装备、中科宇航、风能,71.58,7.97亿,136.45亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,1.380,72.20,68.46,5.89,1.17,1121.91万,60.49,6.5935,136.45亿
427,603319,美湖股份,SH,40.14,0.35,10.65,21.56,80.01,1.04,否,符合,外骨骼机器人、昨日高振幅、参股期货、新能源车、华为概念、长安汽车概念、腾讯概念、无人驾驶、蚂蚁概念、PEEK材料概念、机器人概念、激光雷达、飞行汽车(eVTOL)、低空经济、融资融券、液冷概念、沪股通、银河通用、动力系统、小盘股、人形机器人、一带一路、比亚迪概念、小盘成长、汽车热管理、减速器、智能物流、汽车电子、特斯拉概念,40.14,8.65亿,136.13亿,汽车-汽车零部件-底盘与发动机系统,0.140,40.43,39.19,6.39,1.07,2167.27万,153.55,5.5281,136.13亿
428,688020,方邦股份,SH,165.10,-0.52,19.31,22.53,85.12,11.84,否,符合,稀土永磁、专精特新、5G概念、融资融券、复合集流体、磁材加工、华为手机、先进封装、PET铜箔、华为概念、小米概念、PCB、通信技术、消费电子概念、新材料、先进封装材料、股权激励,165.10,8.92亿,136.02亿,电子-元件-印制电路板,-0.870,171.88,159.01,6.55,0.71,539.68万,-196.42,10.3344,136.02亿
429,688262,国芯科技,SH,40.47,-2.46,6.85,17.60,72.75,1.29,否,符合,国产芯片、东数西算、鸿蒙概念、车联网(车路云)、国家大基金持股、存储芯片、AI芯片、长安汽车概念、信创、高带宽内存、边缘计算、人工智能、无人驾驶、量子通信、无线充电、MCU芯片、物联网、量子科技、数据安全、安防概念、融资融券、数字货币、智能座舱、沪股通、商业航天、ASIC芯片、半导体概念、网络安全、先进封装、比亚迪概念、星闪概念、智能电网、先进封装材料、电子身份证、汽车芯片、汽车电子,40.47,7.09亿,135.98亿,电子-半导体-数字芯片设计,-1.020,41.07,40.05,5.20,0.97,1746.46万,-69.85,7.0557,135.98亿
430,688059,华锐精密,SH,144.90,-1.29,8.50,13.71,76.38,4.90,否,符合,专精特新、2026—季报预增、工业母机、融资融券、2025年报预增、沪股通、机器人概念,144.90,4.91亿,135.60亿,机械设备-通用设备-金属制品,-1.900,146.59,142.12,3.64,0.62,340.46万,20.67,6.6717,144.88亿
431,002031,巨轮智能,SZ,7.06,9.97,23.29,18.68,86.41,0.25,否,符合,航空发动机、工业母机、融资融券、昨日高振幅、深股通、昨日首板、贬值受益、小盘价值、最近多板、东方财富热股、小盘股、核能核电、机器视觉、人形机器人、人工智能、高端装备、减速器、智能物流、冷链物流、机器人概念,7.06,15.54亿,135.10亿,机械设备-专用设备-其他专用设备,0.640,7.06,6.51,11.86,3.87,2.27亿,-108.30,8.0007,155.28亿
432,000420,吉林化纤,SZ,5.49,-1.61,14.09,21.02,69.25,0.04,否,符合,大飞机、飞行汽车(eVTOL)、低空经济、融资融券、东北振兴、昨日高振幅、深股通、关键材料、无人机、昨日触板、体育产业、亿航智能、小盘股、冰雪经济、央国企改革、碳纤维、风能,5.49,7.58亿,134.95亿,基础化工-化学纤维-粘胶,-0.090,5.59,5.46,5.59,1.04,1.37亿,123.85,3.0401,134.99亿
433,603186,华正新材,SH,86.11,-0.68,9.96,28.35,78.04,2.46,否,符合,国产芯片、6G概念、5G概念、2025年报扭亏、昨日高振幅、沪股通、绿色电力、半导体概念、先进封装、PCB、华为概念、通信技术、电池技术、消费电子概念、固态电池、铝塑膜、锂电池概念、6G元器件、石墨烯、毫米波概念、海峡两岸、冷链物流、MiniLED,86.11,9.98亿,134.90亿,电子-元件-印制电路板,-0.590,87.99,83.60,7.42,0.63,1162.63万,109.07,5.8160,134.90亿
434,601133,柏诚股份,SH,25.68,2.80,16.24,20.52,72.98,-0.17,否,符合,国产芯片、融资融券、中芯概念、昨日高振幅、洁净室、装配建筑、OLED、沪股通、柔性屏(折叠屏)、半导体概念、存储芯片、工程建设,25.68,8.14亿,134.66亿,建筑装饰-专业工程-其他专业工程,0.700,26.70,24.33,6.02,1.05,3156.57万,109.07,4.4790,135.60亿
435,300843,胜蓝股份,SZ,83.90,-3.40,8.96,14.92,73.87,2.92,否,符合,飞行汽车(eVTOL)、低空经济、液冷概念、高压快充、微通道水冷板、充电桩、深股通、电子烟、转债标的、新能源车、无人机、智能座舱、优必选科技、铜缆高速连接、小米概念、数据中心、消费电子概念、人形机器人、比亚迪概念、创业板综、富士康概念、小鹏汇天、机器人概念,83.90,6.08亿,134.66亿,电子-消费电子-消费电子零部件及组装,-2.950,87.50,83.60,4.45,0.71,714.73万,95.22,8.4309,137.35亿
436,300938,信测标准,SZ,63.55,2.52,17.70,33.16,79.54,1.78,否,符合,军工、低空经济、融资融券、华为汽车、AI眼镜、深股通、近期新高、食品安全、深圳特区、华为概念、小米概念、军民融合、汽车拆解、历史新高 、比亚迪概念、百日新高 、DeepSeek概念、创业板综、机器人概念、特斯拉概念,63.55,13.76亿,134.31亿,社会服务-专业服务-检测服务,1.560,65.17,59.99,10.39,0.97,2195.91万,86.31,8.0653,154.74亿
437,002563,森马服饰,SZ,6.08,0.16,3.80,4.44,82.52,0.17,否,符合,融资融券、共同富裕示范区、数字经济、深股通、社区团购、高股息精选、破发股、足球概念、体育产业、标准普尔、深成500、小盘价值、小盘股、电商概念、跨境电商、三胎概念、Lazada电商、服装、新零售、富时罗素、网红经济、谷子经济、婴童概念、红利股,6.08,1.45亿,134.19亿,纺织服饰-服装家纺-非运动服装,0.010,6.14,6.01,1.08,0.49,2389.33万,13.15,1.4496,163.80亿
438,600383,金地集团,SH,2.97,0.00,6.55,6.80,79.11,0.08,否,符合,小盘股、融资融券、证金持股、富时罗素、低价股、沪股通、长期破净、标准普尔、深圳特区、小盘价值,2.97,2.39亿,134.08亿,房地产-房地产开发-住宅开发,0.000,3.04,2.95,1.78,0.77,8030.01万,-4.93,0.2997,134.08亿
439,002796,世嘉科技,SZ,58.80,1.08,12.28,28.94,65.61,0.45,否,符合,军工、6G概念、5G概念、低空经济、医疗器械概念、融资融券、昨日高振幅、光通信模块、昨日触板、通信技术、储能概念、中马经济一体化、一带一路、CPO概念、昨日炸板,58.80,12.81亿,133.89亿,通信-通信设备-通信网络设备及器件,0.630,59.66,56.00,9.63,1.28,2192.84万,-157.92,17.6142,148.39亿
440,688182,灿勤科技,SH,33.46,9.20,14.10,8.87,69.89,0.17,否,符合,国产芯片、6G概念、专精特新、5G概念、融资融券、国家大基金持股、新能源车、商业航天、沪股通、半导体概念、华为概念、通信技术、小盘股、卫星导航、微利股、智能电网、2025年报预增、小盘成长、WiFi6,33.46,5.02亿,133.84亿,通信-通信设备-通信网络设备及器件,2.820,33.88,30.13,3.90,1.88,1558.71万,2049.69,5.9214,133.84亿
441,300007,汉威科技,SZ,47.30,3.50,11.18,22.42,76.51,1.12,否,符合,国产芯片、区块链、胎压监测、食品安全、柔性屏(折叠屏)、智能穿戴、独角兽、物联网、电子皮肤、互联医疗、机器人概念、军工、融资融券、人脑工程、无人机、语音技术、碳中和、地下管网、无线耳机、专精特新、元宇宙概念、新能源车、水利建设、工业互联、节能环保、华为概念、小米概念、创投、消费电子概念、污水处理、脑机设备、固态电池、互联网金融、智能家居、2025年报预增、脑机接口、数据安全、数字孪生、数字货币、深股通、医美概念、智慧城市、核污染防治、养老概念、小盘股、氢能源、人形机器人、锂电池概念、比亚迪概念、创业板综、电子身份证、抖音概念(字节概念)、传感器,47.30,12.79亿,133.83亿,机械设备-通用设备-仪器仪表,1.600,47.88,45.21,9.62,2.03,2722.30万,156.51,5.2421,154.88亿
442,000899,赣能股份,SZ,13.65,1.64,10.26,10.18,65.68,0.09,否,符合,光伏概念、核能核电、融资融券、充电桩、央国企改革、深股通、抽水蓄能、2025年报预增、绿色电力、超超临界发电、新能源,13.65,5.25亿,133.18亿,公用事业-电力-火力发电,0.220,13.86,13.33,3.94,1.39,3846.79万,16.48,2.0013,133.18亿
443,000980,众泰汽车,SZ,2.64,0.38,9.52,19.16,78.76,0.15,否,符合,汽车整车、融资融券、昨日高振幅、深股通、新能源车、破发股、低价股、标准普尔、最近多板、小盘股、氢能源、一带一路、中俄贸易概念、百度概念、无人驾驶,2.64,5.91亿,133.12亿,汽车-汽车零部件-汽车电子电气系统,0.010,2.72,2.56,4.45,0.85,2.25亿,-40.58,407.1077,133.12亿
444,000700,模塑科技,SZ,14.50,6.93,24.42,29.46,85.33,0.69,否,符合,民营医院、融资融券、华为汽车、昨日高振幅、深股通、昨日首板、新能源车、小米概念、最近多板、东方财富热股、人形机器人、小米汽车、比亚迪概念、富时罗素、智能医疗、长江三角、参股银行、机器人概念、特斯拉概念,14.50,19.34亿,133.11亿,汽车-汽车零部件-车身附件及饰件,0.940,14.85,13.62,14.69,2.48,1.35亿,20.47,3.3575,133.11亿
445,000567,海德股份,SZ,6.83,1.19,6.30,12.83,91.09,0.35,否,符合,小盘股、电池技术、钒电池、互联网金融、融资融券、海南自贸、深股通、化债(AMC)概念、最近多板,6.83,3.58亿,133.09亿,非银金融-多元金融-资产管理,0.080,6.91,6.63,2.69,0.62,5247.23万,7.95,2.2162,133.50亿
