序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,证券类型,低位 2026.04.30,个股题材,申万行业分类,主力净额合计 2026.04.28 - 2026.04.30,东财行业总分类,概念,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
1098,300678,中科信息,SZ,28.52,0.78,A股,符合,区块链、烟草、数字经济、军工装备、华为概念、AI芯片、成渝特区、信创、边缘计算、人工智能、油气设服、智能科技、物联网、脑机接口、机器人概念、医疗器械、军工、智慧政务、低空经济、人脑工程、华为云、ChatGPT概念、UWB概念、医疗健康、腾讯云、医疗美容、互联网医疗、大数据,计算机-IT服务Ⅱ-IT服务Ⅲ,-1460.78万,计算机-IT服务Ⅱ-IT服务Ⅲ,区块链、多模态AI、西部大开发、数字经济、新型工业化、AI智能体、智能穿戴、成渝特区、油气资源、边缘计算、AI应用、无人驾驶、中字头、物联网、阿里概念、互联医疗、机器人概念、华为鲲鹏、数据要素、军工、智慧政务、融资融券、低空经济、人脑工程、AIGC概念、网络安全、数据中心、智能医疗、大数据、专精特新、烟草、电子烟、工业互联、华为概念、信创、央国企改革、DeepSeek概念、人工智能、油气设服、2025年报预增、人脸识别、脑机接口、数据安全、安防概念、医疗器械概念、深股通、智慧城市、UWB概念、互联网服务、机器视觉、锂电池概念、比亚迪概念、创业板综,0.220,28.63,28.18,1.37,0.71,398.04万,1.13亿,455.25,9.8215,84.53亿,83.05亿
1099,300711,广哈通信,SZ,20.87,-0.95,A股,符合,军工、军工信息化、广东自贸、华为昇腾、低空经济、卫星导航、军工装备、AI应用、人工智能、区域经济、军民融合,通信-通信设备-其他通信设备,-1463.49万,通信-通信设备-其他通信设备,粤港澳大湾区、专精特新、多模态AI、5G概念、水利建设、工业互联、AI智能体、军民融合、通信技术、华为昇腾、核能核电、信创、AI应用、央国企改革、人工智能、抽水蓄能、人脸识别、卫星互联网、华为鲲鹏、破增发价股、数据要素、军工、军工信息化、6G概念、低空经济、深股通、空管系统、卫星导航、语音技术、智能电网、创业板综、高铁,-0.200,21.15,20.70,3.07,1.24,761.74万,1.59亿,-176.35,3.8081,58.53亿,51.85亿
1100,001288,运机集团,SZ,28.11,1.70,A股,符合,一带一路、DeepSeek概念、工程机械、机器人概念、设备制造,机械设备-专用设备-能源及重型设备,-1474.22万,机械设备-专用设备-能源及重型设备,中越经济一体化、西部大开发、深股通、工程机械概念、转债标的、贬值受益、雅下水电概念、华为概念、中马经济一体化、一带一路、中俄贸易概念、DeepSeek概念、人工智能、中欧经济一体化、2025年报预增、减速器、机器人概念,0.470,28.17,27.61,2.05,0.92,311.70万,8701.82万,32.10,2.8262,66.03亿,42.70亿
1101,002334,英威腾,SZ,7.80,0.39,A股,符合,燃料电池、工业互联网、宇树机器人、新能源车、磁悬浮概念、深圳特区、新型工业化、变压器、电路、充电、物联网、电控、机器人概念、储能、云计算、广东自贸、稀土永磁、PLC概念、液冷概念、算力概念、磁悬浮压缩机、mcu芯片、区域经济、电子布、光伏、碳交易、数据中心、氢能源、ai算力、换电概念、人形机器人、太阳能,机械设备-自动化设备-工控设备,-1478.43万,机械设备-自动化设备-工控设备,国产芯片、粤港澳大湾区、工业母机、海工装备、新能源车、燃料电池概念、工业互联、深圳特区、新型工业化、同步磁阻电机、UPS供电、电池技术、储能概念、核能核电、CDU、百度概念、物联网、机器人概念、稀土永磁、PLC概念、融资融券、低空经济、液冷概念、充电桩、深股通、半导体概念、碳交易、数据中心、光伏概念、氢能源、换电概念、人形机器人、锂电池概念、比亚迪概念、传感器、风能、光伏建筑一体化,0.030,7.83,7.75,1.72,0.64,1264.56万,9852.35万,-52.79,2.0990,64.17亿,57.33亿
1102,002717,*ST岭南,SZ,1.37,-3.52,A股,符合,民航局、低空经济、数据确权、腾讯云、亿航智能,建筑装饰-基础建设-园林工程,-1481.78万,建筑装饰-基础建设-园林工程,首发经济、粤港澳大湾区、PPP模式、乡村振兴、数字经济、新疆振兴、元宇宙概念、水利建设、参股保险、参股新三板、长期破净、标准普尔、华为概念、预制菜概念、粤港自贸、特色小镇、固废处理、污水处理、腾讯概念、农业种植、央国企改革、横琴新区、人工智能、混合现实、富时罗素、网红经济、新型城镇化、雄安新区、数字水印、虚拟现实、破发股、AIGC概念、低价股、旅游概念、ChatGPT概念、智慧城市、光伏概念、数据确权、一带一路、虚拟数字人、土壤修复、中欧经济一体化、抖音概念(字节概念)、谷子经济、超跌股,-0.050,1.43,1.35,7.64,1.68,1.31亿,1.80亿,-4.67,-1.6817,24.94亿,23.54亿
1103,301367,瑞迈特,SZ,66.33,-1.38,A股,符合,国产替代、关税、人脑工程、医疗健康、医疗美容、呼吸机、脑机接口、机器人概念、医疗器械,医药生物-医疗器械-医疗设备,-1481.89万,医药生物-医疗器械-医疗设备,专精特新、医疗器械概念、融资融券、京津冀一体化、深股通、贬值受益、创业板综、破发股、2025年报预增、机器人概念,-0.930,67.66,66.21,1.17,0.50,82.07万,5469.96万,38.67,1.9313,59.43亿,46.56亿
1104,601865,福莱特,SH,13.52,-1.82,A股,符合,石英、光伏设备、一带一路、太阳能、绿色电力、光伏、反内卷概念、新能源,电力设备-光伏设备-光伏辅材,-1486.77万,电力设备-光伏设备-光伏辅材,中盘股、融资融券、光伏玻璃、转债标的、上证380、中证500、沪股通、标准普尔、反内卷概念、光伏概念、石英、一带一路、光伏背板、股权激励、富时罗素、MSCI中国、长江三角、破增发价股,-0.250,13.80,13.46,0.90,0.81,1701.45万,2.31亿,207.59,1.4377,316.76亿,257.02亿
1105,000505,京粮控股,SZ,6.61,2.96,A股,符合,网红直播、关税、贸易战、一带一路、海南自贸、调味品概念、新零售、区域经济、全国两会、无人零售,农林牧渔-农产品加工-粮油加工,-1489.72万,农林牧渔-农产品加工-粮油加工,生态农业、AB股、融资融券、京津冀一体化、一带一路、海南自贸、央国企改革、调味品概念、转基因、新零售、网红经济、粮食概念,0.190,6.69,6.49,2.52,1.67,1595.36万,1.06亿,147.61,1.6737,48.05亿,41.80亿
1106,002011,盾安环境,SZ,11.68,-1.52,A股,符合,液冷概念、新能源车、磁悬浮压缩机、比亚迪智驾、磁悬浮概念、华为概念、数据中心、液冷服务器、创投、冰雪经济、供给侧改革、核能核电、家电行业、内循环、空气能热泵、核电概念、汽车热管理、冷链物流、机器人概念,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,-1490.24万,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,新能源车、节能环保、宁德时代概念、华为概念、创投、储能概念、核能核电、军工、雄安新区、融资融券、液冷概念、微通道水冷板、深股通、价值股、小盘价值、数据中心、小盘股、铁路基建、冰雪经济、地热能、空气能热泵、比亚迪概念、高铁、汽车热管理、长江三角、冷链物流,-0.180,11.89,11.66,1.26,1.03,1339.39万,1.57亿,16.01,1.8392,125.52亿,123.76亿
1107,688566,吉贝尔,SH,28.00,0.14,A股,符合,医药科技、科创板成分股、熊去氧胆酸、医疗健康、创新药、机器人概念、AI医疗、传统中药,医药生物-化学制药-化学制剂,-1491.07万,医药生物-化学制药-化学制剂,专精特新、融资融券、免疫治疗、病毒防治、特色药、沪股通、肝炎概念、中药概念、眼科医疗、病原体防治、独家药品、创新药、机器人概念,0.040,28.06,27.54,0.88,0.67,176.22万,4900.71万,33.24,2.2503,55.84亿,55.84亿
1108,002790,瑞尔特,SZ,7.57,2.57,A股,符合,大消费、智能家居、海峡两岸、沙县小吃、家具、机器人概念,轻工制造-家居用品-卫浴制品,-1491.39万,轻工制造-家居用品-卫浴制品,跨境电商、福建自贸区、数字经济、智能家居、微利股、DeepSeek概念、海峡两岸、股权激励、2025年报预减、养老概念,0.190,7.62,7.37,2.36,0.80,614.04万,4637.14万,887.38,1.5308,31.63亿,19.73亿
1109,301325,曼恩斯特,SZ,43.79,1.23,A股,符合,广东自贸、锂动力电池、燃料电池、宇树机器人、灵巧手、钙钛矿电池、区域经济、AI智能体、氢能源、锂电池、英伟达概念、硫化物、固态电池材料、固态电池、人形机器人、电池概念、脑机接口、机器人概念、Chiplet概念、储能、骨架膜,电力设备-电池-锂电专用设备,-1501.66万,电力设备-电池-锂电专用设备,国产芯片、粤港澳大湾区、专精特新、钙钛矿设备、燃料电池概念、钙钛矿电池、宁德时代概念、电池技术、消费电子概念、固态电池、储能概念、OLED、物联网、机器人概念、融资融券、深股通、破发股、先进封装、氢能源、光伏概念、锂电池概念、比亚迪概念、先进封装材料、创业板综、传感器,0.530,44.23,42.89,3.95,0.89,228.79万,9953.07万,-38.46,2.3813,63.01亿,25.35亿
1110,002385,大北农,SZ,3.89,-0.51,A股,符合,生物制品、动物疫苗、移动支付、贸易战、乡村振兴、反制概念、北交所概念、乳业、反内卷概念、生物疫苗、消毒剂、关税、供给侧改革、农业种植、农业供改、大豆、医疗健康、转基因、寒潮、猪肉概念、粮食概念、水产,农林牧渔-饲料-畜禽饲料,-1512.78万,农林牧渔-饲料-畜禽饲料,水产概念、合成生物、乡村振兴、玉米、数字经济、北交所概念、数字乡村、宠物经济、标准普尔、深成500、农村电商、乳业、预制菜概念、生物疫苗、消毒剂、互联网金融、农业种植、京津冀一体化、DeepSeek概念、奶粉、富时罗素、猪肉概念、粮食概念、移动支付、融资融券、宠物健康、深股通、俄乌冲突概念、中证500、反内卷概念、小盘价值、小盘股、三胎概念、大豆、转基因,-0.020,3.91,3.87,1.73,1.05,6097.97万,2.37亿,-23.91,2.2551,167.27亿,137.07亿
1111,600121,郑州煤电,SH,4.25,-0.93,A股,符合,动力煤、供给侧改革、煤炭概念、寒潮、无烟煤、煤炭供改、反内卷概念、低市盈率,煤炭-煤炭开采-动力煤,-1514.97万,煤炭-煤炭开采-动力煤,安防概念、稀缺资源、融资融券、煤炭概念、东数西算、工业互联、沪股通、参股券商、反内卷概念、信创、央国企改革、DeepSeek概念、煤炭开采加工、机器人概念、破增发价股、数据要素,-0.040,4.35,4.20,3.25,0.80,3965.92万,1.68亿,-6.62,7.0369,51.78亿,51.78亿
1112,920402,硅烷科技,BJ,9.07,-4.12,A股,符合,氢能源、半导体材料、固态电池、新材料、北证A股、骨架膜,基础化工-化学制品-其他化学制品,-1517.52万,基础化工-化学制品-其他化学制品,光伏概念、氢能源、国产芯片、新材料、融资融券、工业气体、央国企改革、硅能源、半导体概念、碳中和,-0.390,9.30,8.88,2.98,0.75,813.31万,7455.33万,-27.19,2.5400,38.28亿,24.75亿
1113,000756,新华制药,SZ,14.08,-1.26,A股,符合,关税、仿制药一致性评价、流感、熊去氧胆酸、阿兹海默、新零售、辅助生殖、医疗美容、无人零售、创新药、幽门螺杆菌概念,医药生物-化学制药-原料药,-1522.23万,医药生物-化学制药-化学制剂,合成生物、宠物经济、标准普尔、仿制药一致性评价、医药电商、央国企改革、阿兹海默、辅助生殖、富时罗素、独家药品、创新药、阿里概念、毛发医疗、ADC药物、融资融券、深股通、医美概念、新消费、肝炎概念、小盘股、维生素C、流感、病原体防治、新零售、小盘成长、参股银行、幽门螺杆菌概念、维生素,-0.180,14.24,14.06,0.95,1.22,474.67万,6709.36万,29.23,1.8336,98.09亿,70.25亿
1114,605333,沪光股份,SH,22.75,-0.09,A股,符合,华为汽车、宇树机器人、新能源车、广州车展、华为概念、小米概念、反内卷概念、英伟达概念、关税、小米汽车、电路、DeepSeek概念、智能驾驶、汽车零部件、人工智能,汽车-汽车零部件-汽车电子电气系统,-1525.36万,汽车-汽车零部件-汽车电子电气系统,小盘股、华为汽车、人形机器人、新能源车、无人机、上证380、小盘成长、沪股通、机器人概念、破增发价股、特斯拉概念,-0.020,22.92,22.60,0.38,0.48,176.47万,4015.21万,87.22,3.0616,105.57亿,105.57亿
1115,002103,广博股份,SZ,7.99,-1.24,A股,符合,电商概念、跨境电商、网红直播、敦煌网、字节概念、电子商务概念、移动支付、大消费、人工智能、谷子经济、短剧概念,轻工制造-文娱用品-文化用品,-1526.54万,轻工制造-文娱用品-文化用品,中越经济一体化、首发经济、数字经济、深股通、虚拟现实、新消费、小红书概念、电商概念、跨境电商、创投、腾讯概念、中马经济一体化、拼多多概念、一带一路、新零售、抖音概念(字节概念)、网红经济、谷子经济、长江三角,-0.100,8.07,7.95,1.62,1.00,629.80万,5041.52万,52.47,3.3974,42.69亿,31.01亿
1116,300111,向日葵,SZ,3.88,0.52,A股,符合,关税、半导体材料、晶硅、幽门螺杆菌概念,医药生物-化学制药-化学制剂,-1528.26万,医药生物-化学制药-化学制剂,国产芯片、流感、深股通、创业板综、破发股、电子特气、幽门螺杆菌概念,0.020,3.89,3.81,1.86,0.54,2400.38万,9250.88万,-239.42,7.3782,49.94亿,49.94亿
1117,603370,华新精科,SH,41.78,0.92,A股,符合,精密制造,电力设备-电机Ⅱ-电机Ⅲ,-1536.00万,电力设备-电机Ⅱ-电机Ⅲ,专精特新、融资融券、工业母机、液冷概念、比亚迪概念、新能源车、注册制次新股、传感器、次新股、机器人概念,0.380,41.95,41.10,1.99,0.79,69.61万,2896.01万,54.69,3.7128,73.09亿,14.62亿
1118,000516,国际医学,SZ,4.60,-0.86,A股,符合,人脑工程、ai应用、AI医疗、AI智能体、华为概念、内循环、医疗健康、DeepSeek概念、人工智能、辅助生殖、医疗美容、基因测序、互联网医疗、诊疗医院、银发经济、脑机接口、阿里巴巴概念、毛发医疗、蚂蚁阿福,医药生物-医疗服务-医院,-1543.16万,医药生物-医疗服务-医院,西部大开发、免疫治疗、标准普尔、华为概念、AI制药（医疗）、DeepSeek概念、人工智能、辅助生殖、脑机接口、阿里概念、互联医疗、机器人概念、毛发医疗、细胞免疫治疗、民营医院、创新医疗服务、融资融券、人脑工程、深股通、医美概念、新消费、旅游概念、养老概念、小盘股、三胎概念、神经康复、高压氧舱、小盘成长、智能医疗,-0.040,4.65,4.59,1.00,0.76,2186.06万,1.01亿,-53.26,3.1497,102.99亿,100.93亿
1119,301231,荣信文化,SZ,30.00,2.88,A股,符合,manus、AI应用、DeepSeek概念、人工智能、AI漫剧、文化传媒、AI语料、谷子经济、婴童概念、AI智能体、育儿概念、微信小店,传媒-出版-大众出版,-1543.46万,传媒-出版-大众出版,微盘股、融资融券、西部大开发、AI教育、通义千问、ChatGPT概念、AI智能体、电商概念、跨境电商、三胎概念、拼多多概念、AI应用、DeepSeek概念、在线教育、人工智能、创业板综、AI语料、谷子经济、婴童概念、阿里概念、AI办公,0.840,30.10,29.22,4.74,0.93,309.93万,9237.48万,-53.13,3.1173,25.32亿,19.63亿
1120,002657,中科金财,SZ,20.75,2.88,A股,符合,阿里云、区块链、多模态AI、数字经济、ai应用、工业互联网、元宇宙概念、神经网络、通义千问、AI智能体、华为概念、腾讯概念、甲骨文概念、信创、互联网金融、manus、DeepSeek概念、人工智能、国产操作系统、Sora概念、稳定币概念、云计算、化债(AMC)概念、智慧政务、移动支付、数字货币、智谱AI概念、算力概念、AIGC概念、ChatGPT概念、数据中心、电商概念、华为鸿蒙、国产软件、电子商务概念、Web3.0、虚拟数字人、财税数字化、腾讯云、阿里巴巴概念、智谱AI、rwa、大数据,计算机-IT服务Ⅱ-IT服务Ⅲ,-1548.09万,计算机-IT服务Ⅱ-IT服务Ⅲ,区块链、多模态AI、鸿蒙概念、数字经济、通义千问、短剧互动游戏、AI智能体、腾讯概念、AI应用、阿里概念、RWA、华为鲲鹏、破增发价股、智慧政务、融资融券、AIGC概念、ChatGPT概念、数据中心、电商概念、Web3.0、数据确权、财税数字化、语音技术、大数据、东数西算、参股期货、元宇宙概念、工业互联、华为概念、互联网金融、信创、京津冀一体化、算力租赁、百度概念、DeepSeek概念、在线教育、人工智能、化债(AMC)概念、移动支付、数字货币、智谱AI概念、深股通、算力概念、智能座舱、智慧城市、互联网服务、国产软件、虚拟数字人、阿里系算力、智谱AI,0.580,21.08,20.00,3.74,1.26,1256.59万,2.61亿,-51.19,4.1437,70.56亿,69.75亿
1121,301262,海看股份,SZ,23.67,-0.88,A股,符合,网红直播、数字经济、超清视频、AI漫剧、智慧教育、文化传媒、短剧互动游戏、短剧概念、电商概念、广电概念、国产软件、电子商务概念、疯狂动物城、在线教育、人工智能、国产操作系统、大数据,传媒-电视广播Ⅱ-电视广播Ⅲ,-1558.95万,传媒-广告营销-营销代理,东数西算、数字经济、数字乡村、短剧互动游戏、宠物经济、腾讯概念、央国企改革、AI应用、在线教育、DeepSeek概念、人工智能、网红经济、影视概念、人脸识别、智慧政务、数字孪生、融资融券、深股通、虚拟现实、超清视频、破发股、AIGC概念、旅游概念、养老概念、小盘股、电商概念、红果短剧、国产软件、生物识别、语音技术、创业板综、抖音概念(字节概念)、谷子经济、文娱消费、大数据,-0.210,23.91,23.58,2.61,0.81,318.48万,7554.06万,27.44,2.5904,98.70亿,28.90亿
1122,688303,大全能源,SH,22.25,-3.09,A股,符合,光伏设备、多晶硅、晶硅、科创板成分股、太阳能、新疆自贸、区域经济、绿色电力、硅能源、光伏、反内卷概念、新能源,电力设备-光伏设备-硅料硅片,-1561.34万,电力设备-光伏设备-硅料硅片,国产芯片、中盘价值、中盘股、周期股、融资融券、西部大开发、新疆振兴、上证180_、沪股通、硅能源、半导体概念、反内卷概念、光伏概念、光伏硅料、HS300_、有机硅概念、MSCI中国、破增发价股,-0.710,22.49,21.55,1.15,1.32,2471.54万,5.46亿,-14.90,1.2506,477.31亿,477.31亿
1123,603043,广州酒家,SH,15.52,-1.77,A股,符合,电商概念、广东自贸、全运会、食品饮料、大消费、休闲食品、夜经济、数智、区域经济、预制菜概念,食品饮料-休闲食品-烘焙食品,-1562.75万,食品饮料-休闲食品-烘焙食品,粤港澳大湾区、味蕾经济、融资融券、乡村振兴、上证380、沪股通、标准普尔、农村电商、预制菜概念、创投、央国企改革、超级品牌、富时罗素、网红经济,-0.280,15.83,15.47,0.75,1.01,422.81万,6604.70万,41.83,2.2113,88.27亿,87.53亿
1124,300539,横河精密,SZ,29.19,3.58,A股,符合,PEEK轻量化材料、华为汽车、人形机器人、智能驾驶、减速器、口罩、小米机器人,基础化工-塑料-其他塑料制品,-1571.84万,基础化工-塑料-其他塑料制品,专精特新、华为汽车、深股通、无人机、新能源车、智能座舱、华为概念、小米概念、比亚迪概念、智能家居、创业板综、股权激励、PEEK材料概念、减速器、机器人概念,1.010,30.10,28.06,5.28,1.29,1150.63万,3.39亿,195.74,6.5576,78.26亿,63.60亿
1125,002162,悦心健康,SZ,4.47,-0.45,A股,符合,职业教育、大消费、家具、托育服务、AI医疗、养老概念、三胎概念、供给侧改革、装饰建材、人工智能、辅助生殖、健康中国、婴童概念、育儿概念,轻工制造-家居用品-瓷砖地板,-1590.38万,轻工制造-家居用品-瓷砖地板,民营医院、职业教育、2025年报扭亏、医美概念、台资控股、参股保险、养老概念、创投、三胎概念、租售同权、海峡两岸、人工智能、辅助生殖、牙科医疗、智能医疗、婴童概念、长江三角、机器人概念,-0.020,4.55,4.45,1.41,0.96,1298.57万,5839.03万,-305.25,5.0330,41.11亿,41.06亿
1126,300138,晨光生物,SZ,11.53,-1.37,A股,符合,关税、农业种植、合成生物、植物油、工业大麻、调味品概念、tpu、代糖概念,农林牧渔-农产品加工-其他农产品加工,-1594.35万,农林牧渔-农产品加工-其他农产品加工,2025三季报预增、味蕾经济、农业种植、乡村振兴、一带一路、工业大麻、深股通、调味品概念、创业板综、2025年报预增、代糖概念、NMN概念,-0.160,11.73,11.49,1.39,0.93,554.96万,6439.85万,14.40,1.6043,55.70亿,45.93亿
1127,002918,蒙娜丽莎,SZ,10.84,-2.95,A股,符合,广东自贸、首发经济、大消费、智能家居、体育产业、亚冬会、区域经济、家具,轻工制造-家居用品-瓷砖地板,-1595.87万,轻工制造-家居用品-瓷砖地板,创投、首发经济、智能家居、深股通、转债标的、体育产业、2025年报预减、富时罗素、数据中心,-0.330,11.23,10.74,3.36,1.38,719.05万,7834.21万,-61.13,1.3717,44.31亿,23.22亿
1128,002510,天汽模,SZ,6.79,1.04,A股,符合,军工、飞行汽车(eVTOL)、大飞机、低空经济、华为汽车、军工装备、新能源车、区域经济、华为概念、军民融合、小米汽车、京津冀自贸、汽车零部件、并购重组、特斯拉概念,汽车-汽车零部件-其他汽车零部件,-1601.15万,汽车-汽车零部件-其他汽车零部件,新疆振兴、新能源车、工业互联、机体结构、宁德时代概念、小米概念、军民融合、长安汽车概念、创投、京津冀、天津自贸区、京津冀一体化、央国企改革、通用航空、小鹏汇天、军工、大飞机、飞行汽车(eVTOL)、低空经济、华为汽车、深股通、无人机、股权转让、小米汽车、比亚迪概念、特斯拉概念,0.070,6.83,6.67,1.61,0.77,1617.08万,1.10亿,117.33,2.7189,68.93亿,68.23亿
1129,600848,上海临港,SH,8.98,-0.66,A股,符合,区域经济、秘塔AI、房地产开发、创投、智元机器人、供给侧改革、人形机器人、商汤概念、独角兽、沪企改革、房地产供改、上海自贸、REITs概念,房地产-房地产开发-产业地产,-1608.92万,房地产-房地产开发-产业地产,AB股、中盘价值、中盘股、融资融券、上证380、中证500、沪股通、标准普尔、创投、氢能源、自由贸易港、央国企改革、独角兽、富时罗素、长江三角、沪企改革、上海自贸、破增发价股,-0.060,9.11,8.94,0.44,1.19,1058.28万,9529.40万,67.53,1.3502,226.52亿,214.97亿
1130,688306,均普智能,SH,9.28,-0.11,A股,符合,PEEK轻量化材料、科创板成分股、宇树机器人、新能源车、智能制造、优必选、智元机器人、人形机器人、医疗健康、无人驾驶、人工智能、医疗美容、脑机接口、机器人概念、医疗器械,机械设备-自动化设备-其他自动化设备,-1622.15万,机械设备-自动化设备-其他自动化设备,专精特新、共同富裕示范区、贬值受益、新能源车、AI智能体、新型工业化、固态电池、眼科医疗、毫米波概念、DeepSeek概念、无人驾驶、人工智能、脑机接口、机器人概念、医疗器械概念、融资融券、华为汽车、沪股通、银河通用、线控系统、小盘股、氢能源、机器视觉、人形机器人、锂电池概念、汽车热管理、减速器、传感器、汽车电子,-0.010,9.35,8.88,1.00,1.80,1233.22万,1.13亿,-83.06,6.5153,113.98亿,113.98亿
1131,920284,灵鸽科技,BJ,31.70,-2.58,A股,符合,锂电池、固态电池、电池概念,机械设备-专用设备-其他专用设备,-1630.77万,机械设备-专用设备-其他专用设备,电池技术、专精特新、固态电池、融资融券、锂电池概念、人造肉、新型工业化、宁德时代概念,-0.840,33.59,31.66,3.62,0.77,242.93万,7871.47万,519.41,10.5304,33.22亿,21.26亿
1132,002476,宝莫股份,SZ,5.84,-0.51,A股,符合,污水处理、化工、天然气、黄金概念,石油石化-炼化及贸易-其他石化,-1633.76万,石油石化-炼化及贸易-其他石化,石油加工贸易、污水处理、石油加工、融资融券、油气资源、一带一路、页岩气、2025年报预减、天然气,-0.030,5.91,5.82,1.38,0.88,842.04万,4927.66万,73.43,3.7090,35.74亿,35.74亿
1133,002279,久其软件,SZ,7.52,-5.41,A股,符合,区块链、字节概念、职业教育、远程办公、数字经济、华为概念、腾讯概念、信创、manus、AI应用、人工智能、国产操作系统、数据要素、云计算、化债(AMC)概念、智慧政务、网红直播、敦煌网、雄安新区、低空经济、快手概念、ChatGPT概念、网络安全、国产软件、AI编程、软件服务、财税数字化、腾讯云、阿里巴巴概念、大数据,计算机-软件开发-横向通用软件,-1644.08万,计算机-软件开发-横向通用软件,区块链、职业教育、鸿蒙概念、乡村振兴、数字经济、数字乡村、参股新三板、AI智能体、华为概念、小红书概念、跨境电商、腾讯概念、信创、京津冀一体化、AI应用、百度概念、DeepSeek概念、人工智能、网红经济、阿里概念、华为鲲鹏、云计算、化债(AMC)概念、数据要素、破增发价股、智慧政务、数据安全、雄安新区、低空经济、2025年报扭亏、深股通、AIGC概念、快手概念、ChatGPT概念、AI司法、网络安全、数据中心、国产软件、财税数字化、抖音概念(字节概念)、智能医疗、大数据,-0.430,7.90,7.44,6.90,2.43,5451.53万,4.12亿,-18.92,4.6432,64.84亿,59.37亿
1134,002323,*ST雅博,SZ,1.67,-5.11,A股,符合,-,建筑装饰-专业工程-其他专业工程,-1644.77万,建筑装饰-专业工程-其他专业工程,专精特新、融资融券、破发股、数字乡村、低价股、绿色电力、智慧城市、新能源、光伏概念、储能概念、HJT电池、一带一路、央国企改革、长江三角、光伏建筑一体化,-0.090,1.67,1.67,0.14,0.04,298.67万,498.78万,-79.50,18.4823,35.42亿,35.41亿
1135,000948,南天信息,SZ,14.49,0.49,A股,符合,区块链、数字经济、军工装备、海南自贸、ai应用、科创板概念、AI医疗、华为概念、创投、腾讯概念、信创、互联网金融、manus、在线教育、DeepSeek概念、国产操作系统、腾讯元宝、人工智能、物联网、医疗器械、稳定币概念、云计算、军工、数据安全、军工信息化、智慧政务、移动支付、数字货币、智慧教育、智慧城市、碳交易、网络安全、数据中心、UWB概念、国产替代、华为鸿蒙、国产软件、AI编程、ETC、NFT概念、医疗健康、财税数字化、电子身份证、医疗美容、跨境支付、大数据、RDA概念股,计算机-软件开发-垂直应用软件,-1650.46万,计算机-软件开发-垂直应用软件,国资云概念、区块链、多模态AI、鸿蒙概念、西部大开发、乡村振兴、数字经济、AI智能体、腾讯概念、AI应用、物联网、阿里概念、华为鲲鹏、军工、智慧政务、融资融券、知识产权、碳交易、网络安全、数据中心、NFT概念、财税数字化、语音技术、智能医疗、碳中和、大数据、跨境支付、信托概念、元宇宙概念、水利建设、华为概念、通信技术、军民融合、创投、互联网金融、信创、央国企改革、百度概念、DeepSeek概念、在线教育、人工智能、人脸识别、云计算、数据安全、军工信息化、医疗器械概念、移动支付、数字货币、深股通、2025年报预减、智慧城市、UWB概念、国产软件、机器视觉、ETC、电子身份证、参股银行,0.070,14.68,14.43,1.10,0.75,427.38万,6216.21万,-59.29,2.0854,56.49亿,56.39亿
1136,603866,桃李面包,SH,4.98,-1.39,A股,符合,电商概念、电子商务概念、食品饮料、大消费、休闲食品、大宗交易,食品饮料-休闲食品-烘焙食品,-1658.64万,食品饮料-休闲食品-烘焙食品,电商概念、融资融券、上证380、富时罗素、沪股通、绿色电力、标准普尔、破增发价股,-0.070,5.05,4.96,0.81,1.30,1297.48万,6476.73万,38.42,1.5145,79.67亿,79.67亿
1137,301069,凯盛新材,SZ,22.10,-0.85,A股,符合,PEEK轻量化材料、偏苯三酸酐(TMA)、固态电池、新材料、人形机器人、VC概念、太空经济、电子材料,基础化工-化学原料-其他化学原料,-1668.91万,基础化工-化学原料-其他化学原料,融资融券、锂电池概念、化工原料、深股通、创业板综、新能源车、3D打印、2025年报预增、PEEK材料概念,-0.190,22.50,21.99,1.65,0.71,694.15万,1.54亿,59.66,4.3457,98.57亿,92.73亿
1138,300793,佳禾智能,SZ,14.08,-0.71,A股,符合,抖音豆包、ai应用、消费电子、元宇宙概念、华为概念、小米概念、智能穿戴、DeepSeek概念、人工智能、脑机接口、机器人概念、AI手机、储能、网红直播、广东自贸、人脑工程、AI眼镜、小米ai眼镜、区域经济、华为玄玑、苹果概念、玄铁、VR&AR、WiFi、无线耳机、智能戒指、RISC-V概念,电子-消费电子-消费电子零部件及组装,-1676.70万,电子-消费电子-消费电子零部件及组装,国产芯片、脑信号采集、车联网(车路云)、鸿蒙概念、贬值受益、转债标的、元宇宙概念、新型工业化、华为概念、小米概念、通信技术、智能穿戴、消费电子概念、脑机设备、储能概念、中马经济一体化、智能家居、荣耀概念、人工智能、阿里概念、脑机接口、机器人概念、中越经济一体化、空间计算、医疗器械概念、AI眼镜、深股通、虚拟现实、无人机、苹果概念、智能音箱、血氧仪、机器视觉、换电概念、星闪概念、一带一路、语音技术、创业板综、WiFi、无线耳机、汽车电子,-0.100,14.27,13.97,1.49,0.88,555.27万,7812.30万,-154.54,1.9181,53.58亿,52.39亿
